Longitude_NAD83,Latitude_NAD83,Z_m,Hydraulic_conductivity_m/d,K_log transformed,measurement_method
421108,2436029.1,,28.1,1.448,
422718.4,2442816,,417,2.62,
453171.1,2420496.3,,102.3,2.01,
455729.8,2422210.9,,734.2,2.866,
454094.4,2422215.7,,36.9,1.567,
454037.3,2422308.1,,18.8,1.273,
455327.5,2421996.8,,138,2.14,
455069.8,2422182.1,,200.6,2.302,
452576.6,2423142.6,,123.1,2.09,
452576.7,2423173.4,,530.6,2.725,
452576.5,2423111.9,,47.6,1.678,
439545.1,2421803.6,,5044.1,3.703,
439545.1,2421803.7,,4317.6,3.635,
439545.1,2421803.7,,1581.8,3.199,
439688.7,2421833.8,,160.3,2.205,
447788.3,2424080.1,,470.7,2.673,
447904.3,2424448.6,,197.8,2.296,
448019.6,2424602,,1653.9,3.219,
446437.7,2423438.9,,9.8,0.99,
442167.5,2424776.2,,128.8,2.11,
442196.6,2424899.1,,44.6,1.649,
441017.2,2424073.3,,318.1,2.503,
441590.5,2423917.4,,19.8,1.296,
435077.2,2423881.4,,2395.9,3.379,
449228.6,2425858.7,,176.6,2.247,
449516,2426042.2,,159.2,2.202,
445815.9,2426146.6,,1181.8,3.073,
445815.9,2426146.6,,1036.9,3.016,
440534.6,2425428,,2693.9,3.43,
440219.6,2425582.9,,189.6,2.278,
431083.1,2429094.5,,383.2,2.583,
430825.1,2429126.4,,423.1,2.626,
428906.6,2429842.1,,2184.8,3.339,
428164.2,2430552.7,,35.8,1.554,
426646.9,2431143.9,,263.3,2.42,
426247.3,2431545.6,,79.1,1.898,
421836.5,2432643.1,,190.2,2.279,
421978.6,2432396.4,,105,2.021,
633890.5,2352257.2,,30.1,1.479,
624982.9,2352371.5,,744.6,2.872,
625126.8,2352403.3,,1121.4,3.05,
623995.5,2353348,,335.2,2.525,
637293.6,2355483.2,,32.6,1.514,
635711.4,2355131.8,,79.2,1.899,
634127.2,2355026.6,,60,1.778,
630494.5,2355212.5,,183.1,2.263,
629658.1,2355298.1,,49.9,1.698,
626699.4,2354045.1,,6364.1,3.804,
627738.1,2353899.4,,5627.8,3.75,
627156.5,2354571.3,,195.3,2.291,
626981.2,2354877.5,,123.2,2.091,
626372.9,2355272.5,,229.8,2.361,
623058.8,2355278.1,,27.7,1.443,
621994.4,2355024.1,,321.6,2.507,
621994.4,2355024.1,,400.3,2.602,
621040.8,2355386,,7.4,0.868,
620262.9,2355349.6,,403,2.605,
594672.7,2355612.6,,67.5,1.829,
594905.3,2355244.9,,47.1,1.673,
637607.7,2355824.1,,670.9,2.827,
637550.9,2355731.4,,157.2,2.196,
637606.9,2355916.4,,839.4,2.924,
638266.6,2356290.9,,425.3,2.629,
632214.3,2356364,,240.3,2.381,
628932.3,2355968.9,,87.4,1.941,
625613.3,2356619.6,,54.7,1.738,
625584.1,2356680.9,,37.4,1.573,
621700.4,2355821.4,,242.2,2.384,
621700.1,2355852.1,,168.8,2.227,
621671.5,2355821.2,,169.7,2.23,
621671.3,2355852,,120.9,2.083,
619597.3,2355744.5,,87.3,1.941,
617893.2,2356285.6,,20.4,1.31,
618760.5,2355892.1,,150.7,2.178,
618234.1,2356964.5,,69.7,1.844,
618467.9,2356505,,280.7,2.448,
618407.9,2356842.8,,128,2.107,
618407.9,2356842.8,,201.6,2.305,
619220.7,2356018.4,,110.4,2.043,
618437.8,2356689.2,,103,2.013,
619250.8,2355834.2,,419.5,2.623,
618932.1,2356077.8,,4514.5,3.655,
618384.6,2356073.9,,393.7,2.595,
618495.2,2356720.4,,39.6,1.598,
617891.2,2356562.3,,248.5,2.395,
617891.2,2356562.3,,95.3,1.979,
618440.7,2356289.5,,22.3,1.349,
618900.6,2356446.6,,491.8,2.692,
618958.7,2356385.5,,422.4,2.626,
594367.8,2358501.2,,330,2.518,
638544.4,2357523.2,,76.6,1.884,
638544.2,2357554,,1136.9,3.056,
638341.9,2357613.7,,94.1,1.974,
637906.9,2357948.3,,99.9,1.999,
596147.8,2359556.9,,7960.6,3.901,
595536.9,2360598.5,,724,2.86,
596318.7,2359896,,1082.5,3.034,
594879.7,2359672.4,,2703.6,3.432,
592718.9,2359721.4,,632.5,2.801,
593060.7,2360399.8,,1891.1,3.277,
593089.7,2360369.2,,1326.8,3.123,
620314.7,2360085.2,,15.9,1.201,
618730,2360104.4,,319,2.504,
618987.3,2360383,,429.7,2.633,
617494.6,2359634.3,,69.3,1.841,
617584.1,2359204.4,,70.7,1.849,
617721.8,2360097.1,,913,2.96,
617722,2360066.4,,543.1,2.735,
615673.4,2360513,,110.1,2.042,
615673.4,2360513,,303.6,2.482,
614745.1,2361428.9,,86.2,1.935,
614745.1,2361428.9,,443.8,2.647,
614456,2361580.6,,116.4,2.066,
614485,2361550,,41.9,1.622,
614485.3,2361519.3,,634.9,2.803,
601074.6,2364136.7,,39.6,1.597,
601737.4,2364079.3,,53.6,1.729,
611450.1,2363066.5,,3.1,0.496,
611382.2,2364572.7,,262.3,2.419,
611382.2,2364572.7,,113.1,2.053,
612044.2,2364638.7,,1036.9,3.016,
612189,2364516.7,,777.9,2.891,
612044.2,2364638.7,,1067.4,3.028,
602884.7,2364824.4,,270.5,2.432,
602852.8,2365316.2,,98.6,1.994,
602852.8,2365316.2,,79.7,1.902,
602852.8,2365316.2,,88.2,1.946,
601154.5,2365182.6,,1086.7,3.036,
601183.1,2365213.5,,4159.5,3.619,
601183.3,2365182.8,,977.5,2.99,
601154.7,2365151.8,,1925.9,3.285,
602244.8,2365835.1,,375.8,2.575,
602215.8,2365865.6,,425.4,2.629,
602273.4,2365866,,307.4,2.488,
602273,2365927.5,,568.9,2.755,
601723.4,2366323.7,,506.8,2.705,
600320.2,2365054.5,,178.6,2.252,
600291.4,2365054.3,,769.1,2.886,
600291.6,2365023.5,,186.2,2.27,
600262.6,2365054.1,,58.7,1.769,
598302.7,2365319,,752.4,2.876,
598388.7,2365380.9,,3551.9,3.55,
597493.8,2365744.6,,141.5,2.151,
597464.6,2365806,,1738.4,3.24,
597377.9,2365867,,1329.5,3.124,
597377.9,2365867,,1471.6,3.168,
611581.1,2364973.7,,1502.1,3.177,
610971.1,2365738.3,,8.1,0.909,
610971.1,2365738.3,,40,1.602,
610942.1,2365768.8,,498.5,2.698,
610970.9,2365769,,538.6,2.731,
610999.7,2365769.2,,124.9,2.096,
610999.9,2365738.5,,113.6,2.055,
611028.5,2365769.4,,116.8,2.067,
609501.4,2365882.2,,152.9,2.184,
609501.4,2365882.2,,47.1,1.673,
609649.5,2365268.2,,557.4,2.746,
610191.3,2366071.2,,82,1.914,
609243.5,2365696,,65.6,1.817,
610715.9,2365152.4,,893.8,2.951,
610773,2365214.3,,1348.8,3.13,
609243.5,2365696,,7.7,0.889,
609619.7,2365421.8,,253.7,2.404,
609504.5,2365421,,292.1,2.465,
609215.5,2365572.8,,179.7,2.255,
609214.5,2365726.5,,68.9,1.838,
609446.7,2365451.4,,286.6,2.457,
608465.8,2365721.5,,36,1.556,
608437,2365721.3,,48.4,1.685,
605959.3,2365889.5,,39.2,1.594,
606016.9,2365889.9,,31.2,1.495,
605815.9,2365796.4,,126.4,2.102,
605755.7,2366195.6,,66.7,1.824,
605872.5,2365950.4,,141.7,2.151,
605988.3,2365859,,220.3,2.343,
605672.3,2365733.9,,96.4,1.984,
605668.5,2366318.1,,16.5,1.217,
603160.1,2366824.7,,169.9,2.23,
603188.8,2366824.9,,261.8,2.418,
603131.1,2366855.3,,84,1.924,
603131.1,2366855.3,,185.8,2.269,
602440,2366850.9,,515.1,2.712,
602382.4,2366850.6,,564,2.751,
602382.2,2366881.3,,400.3,2.602,
603469.6,2367964.3,,177.7,2.25,
603498.2,2367995.2,,206.9,2.316,
603526.8,2368026.2,,189.3,2.277,
603498.5,2367933.7,,389.6,2.591,
603555.9,2367964.9,,144.5,2.16,
602411.4,2366820,,53.1,1.725,
601977.2,2367186.2,,18.4,1.266,
601347.5,2366567.4,,178.5,2.252,
601347.1,2366628.9,,727.5,2.862,
601347.7,2366536.6,,213.5,2.329,
600620.3,2367762,,1573.1,3.197,
599648.5,2366587.7,,817.6,2.913,
599648.6,2366556.9,,113.1,2.053,
599706.2,2366557.3,,202.6,2.307,
611337.3,2366939.9,,648.7,2.812,
609437.7,2366804.1,,485,2.686,
609466.4,2366804.3,,144.5,2.16,
609495.4,2366773.7,,267.4,2.427,
607416.5,2367620.9,,75.9,1.88,
607416.5,2367620.9,,103.8,2.016,
607445.3,2367621,,189,2.276,
608947.7,2366862.3,,31.7,1.5,
608919.3,2366800.6,,2830.4,3.452,
608862,2366769.5,,172,2.236,
608862,2366769.5,,171.3,2.234,
608890.5,2366800.4,,71.5,1.855,
608890.8,2366769.7,,175.9,2.245,
608919.5,2366769.9,,73.8,1.868,
608427.8,2367104.8,,119.8,2.079,
608427.6,2367135.6,,139.2,2.144,
608456.6,2367105,,115.5,2.062,
607076.3,2366819.2,,829.2,2.919,
607076.3,2366819.2,,1316.8,3.12,
606815.5,2367063.5,,916.1,2.962,
605494.8,2366470.7,,14,1.148,
605466,2366470.5,,285.7,2.456,
604194.1,2367231,,191,2.281,
604194.1,2367231,,3540.8,3.549,
604222.9,2367231.2,,672.1,2.827,
604222.7,2367261.9,,345,2.538,
603060.2,2368945.6,,158.5,2.2,
603031.3,2368976.2,,106.6,2.028,
608993.6,2368615.2,,325.5,2.513,
608121.5,2369870.1,,100.2,2.001,
602765,2370112.2,,223.7,2.35,
602667.4,2371894.9,,73.9,1.869,
602696.2,2371895,,184.2,2.265,
597637.7,2370572.7,,7.3,0.863,
606783.9,2371890.6,,155.8,2.193,
605668.8,2370714.9,,44.6,1.65,
606929,2371707.1,,177.4,2.249,
606958.2,2371645.8,,210.2,2.323,
604082,2371258.2,,159.2,2.202,
604139.5,2371258.5,,342.5,2.535,
605582.3,2370745.1,,89.4,1.951,
597507.1,2373154.8,,30.9,1.49,
603719.9,2373869.4,,105.4,2.023,
603720.1,2373838.6,,64.2,1.807,
603662.7,2373807.5,,117.6,2.07,
603720.3,2373807.9,,72.5,1.86,
601004.7,2375420.4,,325,2.512,
597957.1,2374910,,50.6,1.704,
598099.8,2375095.3,,1180.2,3.072,
597784.4,2374909,,40.6,1.608,
607192.6,2375398.5,,47,1.672,
607192.6,2375398.6,,56.2,1.75,
607192.8,2375367.8,,80.5,1.906,
607192.6,2375398.6,,68.5,1.836,
604664.6,2374674.9,,71.3,1.853,
604664.4,2374705.6,,51.6,1.713,
600937.4,2376988.1,,107.8,2.033,
600908.6,2376987.9,,222,2.346,
600908.6,2376987.9,,121.7,2.085,
599872.3,2377043,,418.3,2.621,
599958.6,2377043.5,,108.5,2.035,
603423.8,2379678.8,,511.5,2.709,
599130.5,2380697.3,,292.1,2.465,
597036.1,2379731.5,,505,2.703,
597456.4,2381609.6,,21.4,1.33,
598544.5,2382446.4,,51.9,1.715,
593683,2382417.5,,273.4,2.437,
590082.8,2383227.7,,5.7,0.758,
591290.6,2383264.9,,403.6,2.606,
591688.1,2384189.4,,2090,3.32,
586769.4,2384286.2,,349.6,2.544,
588006.2,2384292.9,,23.8,1.377,
585763.3,2384188.6,,769.4,2.886,
585733.7,2384342.2,,230.2,2.362,
586279.4,2384498.9,,235.5,2.372,
593606.8,2385645.4,,1379.5,3.14,
593919.5,2386293,,423.1,2.626,
593919.3,2386323.7,,330,2.518,
591794.8,2385665.9,,5668.3,3.753,
582071.9,2386168,,153.1,2.185,
594889,2387713,,632.6,2.801,
614216.2,2387499.8,,28.6,1.457,
614360.9,2387377.8,,60.3,1.78,
614419.3,2387255.2,,78.7,1.896,
614535,2387163.8,,30.3,1.481,
613955.3,2387805.4,,74.6,1.873,
613206.9,2387892.4,,11.2,1.048,
613262.5,2388169.5,,62.1,1.793,
611959.9,2389390.4,,60.4,1.781,
611378.9,2390247.3,,62.6,1.797,
612239.1,2390591.4,,39.8,1.6,
611365.1,2392245.9,,7.6,0.881,
611451.3,2392246.5,,77.6,1.89,
598425.2,2392592.3,,142.8,2.155,
611420.9,2392492.2,,11.9,1.075,
610610.8,2393224.7,,54.3,1.735,
610639.8,2393194.1,,22.9,1.361,
609746.3,2393526.3,,44.6,1.649,
610473,2392362.8,,220.9,2.344,
599590.2,2394813.2,,432,2.635,
599127.7,2395240.8,,1574.2,3.197,
608014.1,2394621.6,,91.9,1.963,
608014.1,2394621.6,,105.6,2.023,
607308.2,2397015.1,,39.5,1.597,
607279.3,2397045.7,,25.8,1.412,
603699.3,2399512.8,,42.1,1.624,
602756,2398738,,46.4,1.667,
602842.2,2398738.6,,254,2.405,
602813.2,2398769.1,,26.5,1.423,
608070.4,2399080.1,,85.3,1.931,
608017.9,2398341.9,,316.2,2.5,
605858.8,2398881.2,,101.5,2.006,
605711.7,2399402.9,,77.4,1.889,
605965.1,2400203.8,,9,0.954,
723871,2329671.8,,105.4,2.023,
720251.9,2330361.6,,1774.5,3.249,
720574,2330027.5,,23.5,1.371,
714647.3,2330534.2,,2830.4,3.452,
714001.5,2331356.4,,1280.8,3.107,
731603.1,2334330.1,,941.7,2.974,
708406.6,2333130.7,,10.4,1.016,
706199.2,2334210.4,,750,2.875,
707875.5,2336353.9,,32.5,1.512,
698824.6,2337718.9,,152.1,2.182,
705959.3,2339559.7,,158.4,2.2,
705987.8,2339590.8,,181,2.258,
705785.8,2339588.3,,140.4,2.147,
734388.3,2339506.6,,1020.4,3.009,
705379.2,2339798.5,,91.9,1.963,
703984.7,2340550.2,,42.1,1.624,
744790.8,2325194.8,,187.4,2.273,
768001.2,2282966.7,,253.7,2.404,
800796.4,2284687.1,,216.3,2.335,
794403.4,2284113,,238.2,2.377,
792785.1,2283869.5,,183.1,2.263,
767304,2284924.9,,1348.8,3.13,
767113,2284183.4,,217.1,2.337,
767217.2,2284923.6,,1729.4,3.238,
807264.4,2287511.9,,76.4,1.883,
805853.1,2287055.4,,1036.9,3.016,
805286.6,2286337.2,,845.6,2.927,
805157.4,2287073.6,,45.4,1.657,
767757.6,2285547.5,,361,2.557,
767335.2,2286617.8,,103.1,2.013,
767373.4,2286033.7,,1177.7,3.071,
767437.6,2285634.7,,650.1,2.813,
767509.9,2286559,,86.1,1.935,
767327.6,2285263.8,,886.5,2.948,
767353.7,2285448.8,,762.4,2.882,
766558.8,2286267,,1454.8,3.163,
766960.5,2288334.9,,118.1,2.072,
766941.8,2287688.5,,79.2,1.899,
767064.9,2287228.9,,1084.2,3.035,
767258.8,2287785.8,,116.1,2.065,
766729.9,2288269.8,,1940.8,3.288,
768410.7,2290019.5,,2830.4,3.452,
768384.7,2289834.4,,679.7,2.832,
767054.4,2289721.1,,1827,3.262,
767035.2,2289105.4,,1215.3,3.085,
767194.3,2290031,,636.9,2.804,
766951.5,2290734.8,,1290,3.111,
766996.8,2291535.6,,186.2,2.27,
767059.1,2291259.6,,705.6,2.849,
766292.4,2292139.8,,1322,3.121,
766563.6,2291467.2,,2741,3.438,
766200.2,2292476.8,,781.5,2.893,
766642.1,2291991.5,,3681.6,3.566,
812243.1,2294005.3,,976.8,2.99,
765927.1,2293272.5,,620.3,2.793,
766032.2,2293951.1,,1014.6,3.006,
765714.8,2293884.6,,1506.4,3.178,
769237.8,2296248.3,,309.1,2.49,
769237.8,2296248.3,,392.2,2.593,
766832.8,2294579.2,,498.8,2.698,
765345.5,2297109.6,,977.5,2.99,
765482.9,2297573.3,,292.1,2.465,
812760.4,2297339.1,,1348.8,3.13,
811899.8,2300031.8,,443.4,2.647,
811815.8,2299876.3,,845.6,2.927,
764378.5,2299709.8,,1750.4,3.243,
809629.5,2300697.8,,1718.1,3.235,
808948,2301547.1,,501.4,2.7,
764487.9,2300111.5,,417.8,2.621,
806833.1,2303232,,2726.7,3.436,
774397.2,2302916.7,,677.8,2.831,
